Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5              Trial 
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS 

Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5              Trial 
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS 
SOF  WCTL SAB 13 SAB 17 SAB 12 SAB 17 SAB 16  WCTL SAB 16 SAB 15 SAB 12 SAB 18 SAB 15 {1=[0, 0, 0], 2=[0, 0, 0]} 0  0 
TRY  WCTL SAB 13 SAB 17 SAB 12 SAB 17 SAB 16  WCTL SAB 16 SAB 15 SAB 12 SAB 18 SAB 15 {1=[0, 0, 0], 2=[0, 0, 0]} 0  0 
TRY  WCTL SAB 13 SAB 17 SAB 12 SAB 17 SAB 16  WCTL SAB 16 SAB 15 SAB 12 SAB 18 SAB 15 {1=[4, 3, 1], 2=[4, 3, 1]} 0  0 
TRY  WCTL SAB 13 SAB 17 SAB 12 SAB 17 SAB 16  WCTL SAB 16 SAB 15 SAB 12 SAB 18 SAB 15 {1=[5, 1, 2], 2=[5, 1, 2]} 0  0 
TRY  WCTL SAB 13 SAB 17 SAB 12 SAB 17 SAB 16  WCTL SAB 16 SAB 15 SAB 12 SAB 19 SAB 15 {1=[5, 1, 2], 2=[5, 1, 2]} 0  0 
TRY  WCTL SAB 13 SAB 17 SAB 12 SAB 17 SAB 16  WCTL SAB 16 SAB 15 SAB 12 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 0  0 
TRY  WCTL SAB 13 SAB 17 SAB 12 SAB 17 SAB 16  WCTL SAB 15 SAB 15 SAB 12 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 0  0 
TRY  WCTL SAB 12 SAB 17 SAB 12 SAB 17 SAB 16  WCTL SAB 15 SAB 15 SAB 12 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 0  0 
TRY  WCTL SAB 12 SAB 17 SAB 11 SAB 17 SAB 16  WCTL SAB 15 SAB 15 SAB 12 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 0  0 
TRY  WCTL SAB 12 SAB 17 SAB 11 SAB 16 SAB 16  WCTL SAB 15 SAB 15 SAB 12 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 0  0 
TRY  WCTL SAB 12 SAB 17 SAB 11 SAB 16 SAB 16  WCTL SAB 15 SAB 14 SAB 12 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 0  0 
WTC  WCTL SAB 12 SAB 17 SAB 11 SAB 16 SAB 16  WCTL SAB 15 SAB 14 SAB 12 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 0  0 
WTC  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 16  WCTL SAB 15 SAB 14 SAB 12 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 0  0 
WTC  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 17  WCTL SAB 15 SAB 14 SAB 12 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 0  0 
WTC  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 17  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 0  0 
WTC  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 17  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 1  0 
WTC  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 17  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 1  1 
SOF  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 17  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 1  1 
TRY  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 17  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 14 {1=[5, 1, 2], 2=[5, 1, 2]} 1  1 
TRY  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 17  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 14 {1=[2, 3, 5], 2=[2, 3, 5]} 1  1 
TRY  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 17  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 14 {1=[5, 3, 1], 2=[5, 3, 1]} 1  1 
TRY  WCTL SAB 12 SAB 19 SAB 11 SAB 16 SAB 17  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 14 {1=[5, 3, 1], 2=[5, 3, 1]} 1  1 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 16 SAB 17  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 14 {1=[5, 3, 1], 2=[5, 3, 1]} 1  1 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 16 SAB 17  WCTL SAB 15 SAB 14 SAB 13 SAB 20 SAB 14 {1=[5, 3, 1], 2=[5, 3, 1]} 1  1 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 16 SAB 17  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 14 {1=[5, 3, 1], 2=[5, 3, 1]} 1  1 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 17 SAB 17  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 14 {1=[5, 3, 1], 2=[5, 3, 1]} 1  1 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 17 SAB 17  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 13 {1=[5, 3, 1], 2=[5, 3, 1]} 1  1 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 17 SAB 17  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 13 {1=[5, 3, 1], 2=[5, 3, 1]} 2  1 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 17 SAB 17  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 13 {1=[5, 3, 1], 2=[5, 3, 1]} 2  2 
SOF  WCTL SAB 12 SAB 19 SAB 11 SAB 17 SAB 17  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 13 {1=[5, 3, 1], 2=[5, 3, 1]} 2  2 
SOF  WCTL SAB 11 SAB 19 SAB 11 SAB 17 SAB 17  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 13 {1=[5, 3, 1], 2=[5, 3, 1]} 2  2 
SOF  WCTL SAB 11 SAB 19 SAB 10 SAB 17 SAB 17  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 13 {1=[5, 3, 1], 2=[5, 3, 1]} 2  2 
SOF  WCTL SAB 11 SAB 19 SAB 10 SAB 17 SAB 17  WCTL SAB 16 SAB 13 SAB 13 SAB 20 SAB 13 {1=[5, 3, 1], 2=[5, 3, 1]} 2  2 
SOF  WCTL SAB 11 SAB 19 SAB 10 SAB 17 SAB 16  WCTL SAB 16 SAB 13 SAB 13 SAB 20 SAB 13 {1=[5, 3, 1], 2=[5, 3, 1]} 2  2 
SOF  WCTL SAB 11 SAB 19 SAB 10 SAB 17 SAB 16  WCTL SAB 16 SAB 13 SAB 12 SAB 20 SAB 13 {1=[5, 3, 1], 2=[5, 3, 1]} 2  2 
TRY  WCTL SAB 11 SAB 19 SAB 10 SAB 17 SAB 16  WCTL SAB 16 SAB 13 SAB 12 SAB 20 SAB 13 {1=[5, 3, 1], 2=[5, 3, 1]} 2  2 
TRY  WCTL SAB 11 SAB 19 SAB 10 SAB 17 SAB 16  WCTL SAB 16 SAB 13 SAB 12 SAB 20 SAB 13 {1=[5, 2, 1], 2=[5, 2, 1]} 2  2 
TRY  WCTL SAB 11 SAB 19 SAB 10 SAB 17 SAB 16  WCTL SAB 16 SAB 13 SAB 12 SAB 20 SAB 13 {1=[5, 2, 4], 2=[5, 2, 4]} 2  2 
TRY  WCTL SAB 11 SAB 19 SAB 10 SAB 17 SAB 16  WCTL SAB 16 SAB 13 SAB 13 SAB 20 SAB 13 {1=[5, 2, 4], 2=[5, 2, 4]} 2  2 
WTC  WCTL SAB 11 SAB 19 SAB 10 SAB 17 SAB 16  WCTL SAB 16 SAB 13 SAB 13 SAB 20 SAB 13 {1=[5, 2, 4], 2=[5, 2, 4]} 2  2 
WTC  WCTL SAB 11 SAB 19 SAB 10 SAB 17 SAB 16  WCTL SAB 16 SAB 13 SAB 13 SAB 21 SAB 13 {1=[5, 2, 4], 2=[5, 2, 4]} 2  2 
WTC  WCTL SAB 11 SAB 19 SAB 11 SAB 17 SAB 16  WCTL SAB 16 SAB 13 SAB 13 SAB 21 SAB 13 {1=[5, 2, 4], 2=[5, 2, 4]} 2  2 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 17 SAB 16  WCTL SAB 16 SAB 13 SAB 13 SAB 21 SAB 13 {1=[5, 2, 4], 2=[5, 2, 4]} 2  2 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 17 SAB 16  WCTL SAB 16 SAB 13 SAB 13 SAB 21 SAB 13 {1=[5, 2, 4], 2=[5, 2, 4]} 3  2 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 17 SAB 16  WCTL SAB 16 SAB 13 SAB 13 SAB 21 SAB 13 {1=[5, 2, 4], 2=[5, 2, 4]} 3  1 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 17 SAB 16  WCTL SAB 15 SAB 13 SAB 13 SAB 21 SAB 13 {1=[5, 2, 4], 2=[5, 2, 4]} 3  1 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 16 SAB 16  WCTL SAB 15 SAB 13 SAB 13 SAB 21 SAB 13 {1=[5, 2, 4], 2=[5, 2, 4]} 3  1 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 16 SAB 15  WCTL SAB 15 SAB 13 SAB 13 SAB 21 SAB 13 {1=[5, 2, 4], 2=[5, 2, 4]} 3  1 
WTC  WCTL SAB 12 SAB 19 SAB 11 SAB 16 SAB 15  WCTL SAB 15 SAB 13 SAB 13 SAB 21 SAB 12 {1=[5, 2, 4], 2=[5, 2, 4]} 3  1 
WTC  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 15  WCTL SAB 15 SAB 13 SAB 13 SAB 21 SAB 12 {1=[5, 2, 4], 2=[5, 2, 4]} 3  1 
WTC  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 15  WCTL SAB 15 SAB 12 SAB 13 SAB 21 SAB 12 {1=[5, 2, 4], 2=[5, 2, 4]} 3  1 
SOF  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 15  WCTL SAB 15 SAB 12 SAB 13 SAB 21 SAB 12 {1=[5, 2, 4], 2=[5, 2, 4]} 3  1 
TRY  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 15  WCTL SAB 15 SAB 12 SAB 13 SAB 21 SAB 12 {1=[5, 2, 4], 2=[5, 2, 4]} 3  1 
TRY  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 15  WCTL SAB 15 SAB 12 SAB 13 SAB 21 SAB 12 {1=[4, 3, 5], 2=[4, 3, 5]} 3  1 
TRY  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 15  WCTL SAB 15 SAB 12 SAB 13 SAB 21 SAB 12 {1=[4, 5, 3], 2=[4, 5, 3]} 3  1 
TRY  WCTL SAB 12 SAB 18 SAB 11 SAB 16 SAB 15  WCTL SAB 15 SAB 13 SAB 13 SAB 21 SAB 12 {1=[4, 5, 3], 2=[4, 5, 3]} 3  1 
TRY  WCTL SAB 12 SAB 19 SAB 11 SAB 16 SAB 15  WCTL SAB 15 SAB 13 SAB 13 SAB 21 SAB 12 {1=[4, 5, 3], 2=[4, 5, 3]} 3  1 
TRY  WCTL SAB 12 SAB 19 SAB 11 SAB 16 SAB 15  WCTL SAB 16 SAB 13 SAB 13 SAB 21 SAB 12 {1=[4, 5, 3], 2=[4, 5, 3]} 3  1 
TRY  WCTL SAB 13 SAB 19 SAB 11 SAB 16 SAB 15  WCTL SAB 16 SAB 13 SAB 13 SAB 21 SAB 12 {1=[4, 5, 3], 2=[4, 5, 3]} 3  1 
WTC  WCTL SAB 13 SAB 19 SAB 11 SAB 16 SAB 15  WCTL SAB 16 SAB 13 SAB 13 SAB 21 SAB 12 {1=[4, 5, 3], 2=[4, 5, 3]} 3  1 
WTC  WCTL SAB 13 SAB 19 SAB 11 SAB 16 SAB 15  WCTL SAB 16 SAB 13 SAB 13 SAB 20 SAB 12 {1=[4, 5, 3], 2=[4, 5, 3]} 3  1 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 16 SAB 15  WCTL SAB 16 SAB 13 SAB 13 SAB 20 SAB 12 {1=[4, 5, 3], 2=[4, 5, 3]} 3  1 
